Major,Entropy
0,0.8057633317092754
1,0.7955491812624453
2,0.8153040006059156
3,0.8563915223534102
4,0.8057633317092754
5,0.8738765473750054
6,0.8745591537156552
7,0.8265916250249903
8,0.9315904854445682
9,0.8241892821917197
10,0.8911554066072551
11,0.9076175884438613
12,0.8533065731794899
13,0.9165848119885771
14,0.9243462316668567
15,0.9670495312737102
16,1.0429554523025606
17,0.8911554066072551
18,0.9770800876701785
19,0.9465934777516187
20,1.0131308067217355
21,0.9999107259624979
22,1.0623427007668835
23,0.957688758076558
24,1.0325239378309525
25,1.0908258533886743
26,1.1009406571319336
27,1.1484619790814508
28,1.1026503021623684
29,1.0805040979045974
30,1.1184403254181763
31,1.1701382779043
32,1.1473930639515075
33,1.1356345891514512
34,1.1570414975345236
35,1.1515008421047652
36,1.172061927571026
37,1.1524019318711565
38,1.1484163530956246
39,1.171796203632629
