,major,minor,validation,test
0,0,0,0.8573333333333334,0.832
1,0,1,0.8479999999999999,0.836
2,0,2,0.8560000000000001,0.84
3,0,3,0.8426666666666666,0.836
4,1,0,0.8480000000000001,0.828
5,1,1,0.8346666666666666,0.828
6,1,2,0.8266666666666665,0.848
7,1,3,0.8306666666666667,0.868
8,2,0,0.8413333333333334,0.844
9,2,1,0.8320000000000001,0.832
10,2,2,0.8240000000000001,0.844
11,2,3,0.8346666666666666,0.84
12,3,0,0.8240000000000001,0.848
13,3,1,0.8160000000000001,0.848
14,3,2,0.8119999999999999,0.864
15,3,3,0.8093333333333333,0.848
